variable_id,variable_name,dataset_id,definition,aliases,years,source_document,source_url,page,chunk_id,extraction_notes
ahc-model__var__nn-nvgtd-core-sfty-sw,NN_NVGTD_CORE_SFTY_SW,ahc-model,Navigated Core HRSN Safety Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_17,
ahc-model__var__nn-nvgtd-core-trnsprtn-sw,NN_NVGTD_CORE_TRNSPRTN_SW,ahc-model,Navigated Core HRSN Transportation Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_17,
ahc-model__var__nn-nvgtd-core-utilities-sw,NN_NVGTD_CORE_UTILITIES_SW,ahc-model,Navigated Core HRSN Utilities Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_17,
ahc-model__var__nn-nvgtd-splmtl-dsblty-sw,NN_NVGTD_SPLMTL_DSBLTY_SW,ahc-model,Navigated Supplemental HRSN Disability Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_17,
ahc-model__var__nn-nvgtd-splmtl-edctn-sw,NN_NVGTD_SPLMTL_EDCTN_SW,ahc-model,Navigated Supplemental HRSN Education Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_18,
ahc-model__var__nn-nvgtd-splmtl-emplymt-sw,NN_NVGTD_SPLMTL_EMPLYMT_SW,ahc-model,Navigated Supplemental HRSN Employment Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_18,
ahc-model__var__nn-nvgtd-splmtl-fincl-sw,NN_NVGTD_SPLMTL_FINCL_SW,ahc-model,Navigated Supplemental HRSN Financial Strain Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_18,
ahc-model__var__nn-nvgtd-splmtl-fmly-cmnty-sw,NN_NVGTD_SPLMTL_FMLY_CMNTY_SW,ahc-model,Navigated Supplemental HRSN Family and Community Support Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_18,
ahc-model__var__nn-nvgtd-splmtl-mh-sw,NN_NVGTD_SPLMTL_MH_SW,ahc-model,Navigated Supplemental HRSN Mental Health Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_19,
ahc-model__var__nn-nvgtd-splmtl-phys-actvty-sw,NN_NVGTD_SPLMTL_PHYS_ACTVTY_SW,ahc-model,Navigated Supplemental HRSN Family and Community Support Opted Out,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_34,
ahc-model__var__nn-nvgtd-splmtl-sbstnc-use-sw,NN_NVGTD_SPLMTL_SBSTNC_USE_SW,ahc-model,Navigated Supplemental HRSN Substance Use Indicator,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_19,
